epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,223.251,1.32565,4.5386,3.81815,0.02963,4.58866,0.1414,0.04582,0.07057,0.03557,0.11008,0.0336,0.03513,0.0095,1.13592,4.98838,5.31808,0.04929,0,0.000199422,0.000199422,0.0802572
2,384.135,1.26051,4.07761,2.97205,0.02801,4.05841,0.74452,0.23587,0.22811,0.11751,0.6504,0.15071,0.10838,0.03278,1.13415,4.59491,3.62846,0.04963,0,0.000399324,0.000399324,0.0604571
3,546.568,1.29771,3.93556,2.51581,0.02869,3.89291,0.26246,0.29592,0.32221,0.16423,0.16672,0.18798,0.14943,0.0465,1.20576,4.61429,2.82508,0.05288,0,0.000598836,0.000598836,0.0406566
4,707.474,1.32019,3.85643,2.2567,0.02981,3.81687,0.60306,0.54133,0.54912,0.29244,0.34736,0.35447,0.24582,0.07745,1.18965,4.36617,2.28293,0.05236,0,0.000797666,0.000797666,0.0208555
5,865.837,1.34324,3.79792,2.08362,0.03032,3.74588,0.60491,0.62614,0.62117,0.33159,0.35844,0.41838,0.28375,0.0905,1.22817,4.34287,1.90301,0.05433,0,0.000995521,0.000995521,0.00105332
6,1026.44,1.33538,3.74281,1.98447,0.03011,3.5822,0.62565,0.64445,0.62268,0.34722,0.38454,0.42895,0.30278,0.09972,1.20446,4.34683,1.69428,0.05256,0,0.000993906,0.000993906,0.000993906
7,1186.85,1.3344,3.70168,1.90127,0.0305,3.41641,0.64251,0.5988,0.64828,0.36163,0.40383,0.39392,0.3006,0.10057,1.21562,4.30632,1.6537,0.0532,0,0.000991232,0.000991232,0.000991232
8,1345.42,1.32626,3.68362,1.88865,0.03025,3.44413,0.64516,0.64696,0.64686,0.36955,0.45585,0.42002,0.32075,0.1062,1.23952,4.40541,1.54132,0.05427,0,0.000988079,0.000988079,0.000988079
9,1503.26,1.32028,3.62412,1.84674,0.02973,3.28357,0.60706,0.66466,0.64395,0.36058,0.38935,0.4455,0.31569,0.10373,1.20434,4.32397,1.52613,0.05272,0,0.000984449,0.000984449,0.000984449
10,1660.87,1.30604,3.59449,1.80384,0.02987,3.25367,0.65696,0.64741,0.67886,0.37508,0.40534,0.4329,0.32482,0.11122,1.23106,4.29633,1.46316,0.0546,0,0.000980345,0.000980345,0.000980345
11,1819.19,1.30188,3.60216,1.78957,0.03002,3.3046,0.69453,0.67717,0.70545,0.39916,0.45921,0.44202,0.34027,0.12092,1.20974,4.27647,1.3974,0.05348,0,0.000975773,0.000975773,0.000975773
12,1977.01,1.29127,3.60567,1.7387,0.02955,3.23563,0.60578,0.64471,0.6274,0.35331,0.39487,0.43003,0.30931,0.11186,1.1701,4.21255,1.43467,0.05108,0,0.000970736,0.000970736,0.000970736
13,2134.6,1.29394,3.57016,1.72101,0.02999,3.22573,0.67796,0.6567,0.67754,0.39258,0.46383,0.41291,0.32628,0.11269,1.21741,4.29,1.32755,0.05348,0,0.000965239,0.000965239,0.000965239
14,2290.69,1.30003,3.54691,1.71015,0.02969,3.11853,0.67992,0.71393,0.70326,0.39093,0.43663,0.48064,0.34224,0.12634,1.19821,4.23254,1.33191,0.05245,0,0.000959289,0.000959289,0.000959289
15,2447.85,1.27849,3.52328,1.6957,0.02897,3.17701,0.67203,0.68383,0.71466,0.39629,0.43967,0.45194,0.34537,0.11838,1.21293,4.24212,1.30735,0.05364,0,0.000952889,0.000952889,0.000952889
16,2606.65,1.26857,3.4949,1.67856,0.02864,3.10622,0.63352,0.69013,0.68695,0.3951,0.42579,0.46397,0.34958,0.12105,1.17886,4.10802,1.32392,0.0516,0,0.000946048,0.000946048,0.000946048
17,2765.64,1.28542,3.52212,1.68947,0.02919,3.0525,0.61893,0.68161,0.69054,0.38735,0.4081,0.50847,0.34583,0.12851,1.18098,4.10465,1.36058,0.05161,0,0.000938772,0.000938772,0.000938772
18,2924.28,1.27307,3.50855,1.7092,0.029,3.12921,0.67473,0.72526,0.73929,0.41874,0.4437,0.50141,0.3822,0.13786,1.16426,4.07757,1.2866,0.05132,0,0.000931067,0.000931067,0.000931067
19,3083.16,1.28116,3.50222,1.65217,0.02925,3.03793,0.70849,0.69206,0.7293,0.41234,0.51316,0.49007,0.41944,0.14491,1.17891,4.08408,1.26293,0.05152,0,0.000922942,0.000922942,0.000922942
20,3242.15,1.2589,3.4444,1.63057,0.02876,3.02296,0.64528,0.69891,0.69034,0.40469,0.43783,0.48038,0.37327,0.14609,1.13345,4.06005,1.27651,0.04931,0,0.000914405,0.000914405,0.000914405
21,3402.85,1.28148,3.47998,1.64516,0.02933,3.08923,0.66158,0.72132,0.70245,0.41954,0.47452,0.538,0.42681,0.149,1.17095,4.06605,1.20832,0.05131,0,0.000905463,0.000905463,0.000905463
22,3564.04,1.26012,3.44822,1.62861,0.02869,3.02911,0.60637,0.70273,0.66396,0.39384,0.43915,0.55124,0.3971,0.1389,1.14342,4.03557,1.22173,0.04975,0,0.000896127,0.000896127,0.000896127
23,3723.91,1.26896,3.43592,1.61453,0.02903,3.03221,0.6839,0.70978,0.75316,0.43414,0.42755,0.54849,0.38549,0.15613,1.12994,3.98714,1.15039,0.0493,0,0.000886404,0.000886404,0.000886404
24,3880.83,1.24312,3.42458,1.61207,0.02823,2.98688,0.65643,0.72914,0.72656,0.42109,0.45879,0.5541,0.40933,0.14946,1.15665,3.99068,1.17193,0.05072,0,0.000876305,0.000876305,0.000876305
25,4035.92,1.26594,3.42967,1.60372,0.02911,2.94009,0.7172,0.70024,0.74354,0.42976,0.4649,0.51526,0.40634,0.14974,1.16075,4.06428,1.23755,0.05086,0,0.000865839,0.000865839,0.000865839
26,4190.4,1.24772,3.39955,1.58886,0.02832,2.93307,0.66129,0.75156,0.74984,0.44111,0.48391,0.50795,0.40726,0.14494,1.17065,3.98506,1.15894,0.05114,0,0.000855018,0.000855018,0.000855018
27,4345.05,1.24818,3.38819,1.57305,0.02855,2.92135,0.69043,0.73976,0.72701,0.41353,0.47921,0.52786,0.38393,0.15206,1.16679,3.95335,1.23539,0.05108,0,0.000843851,0.000843851,0.000843851
28,4499.67,1.2444,3.39619,1.55812,0.02843,2.90264,0.69822,0.72241,0.74622,0.432,0.51578,0.50651,0.45318,0.15248,1.14852,4.02065,1.19949,0.05013,0,0.000832349,0.000832349,0.000832349
29,4655.21,1.24416,3.34391,1.54542,0.02829,2.90748,0.68892,0.70297,0.72982,0.42691,0.48866,0.5047,0.42421,0.1559,1.13583,4.00371,1.17563,0.04983,0,0.000820525,0.000820525,0.000820525
30,4810.24,1.25165,3.35173,1.56864,0.02823,2.93905,0.67141,0.71363,0.73213,0.43412,0.48956,0.49618,0.40332,0.15467,1.13644,3.95361,1.18487,0.04972,0,0.000808389,0.000808389,0.000808389
31,4965.87,1.26247,3.3745,1.57316,0.02873,2.8515,0.68771,0.68919,0.68688,0.42227,0.49396,0.49904,0.39204,0.15773,1.10411,3.98892,1.15102,0.0481,0,0.000795954,0.000795954,0.000795954
32,5121.29,1.2352,3.37119,1.55728,0.02802,2.88973,0.71985,0.69139,0.74548,0.43218,0.50991,0.50468,0.41295,0.16034,1.13846,3.93739,1.18254,0.04997,0,0.000783231,0.000783231,0.000783231
33,5276.23,1.24713,3.37642,1.54892,0.02828,2.77723,0.66763,0.77199,0.72723,0.41873,0.4891,0.57065,0.43318,0.16736,1.14642,3.92657,1.21185,0.05045,0,0.000770234,0.000770234,0.000770234
34,5431.61,1.22307,3.32017,1.49939,0.02744,2.78641,0.67298,0.76195,0.73537,0.44984,0.53241,0.5096,0.42849,0.1681,1.06678,3.85821,1.07803,0.04613,0,0.000756976,0.000756976,0.000756976
35,5589.58,1.22116,3.40298,1.52596,0.0276,2.84374,0.67575,0.68146,0.67595,0.41156,0.51003,0.51183,0.40149,0.15938,1.10062,3.94959,1.15947,0.04792,0,0.000743468,0.000743468,0.000743468
36,5747.71,1.24112,3.35925,1.51276,0.02809,2.81857,0.67805,0.74305,0.71412,0.43397,0.52107,0.51228,0.41267,0.16072,1.12264,3.95672,1.12982,0.04873,0,0.000729725,0.000729725,0.000729725
37,5906.42,1.22757,3.32166,1.50097,0.02817,2.81504,0.67663,0.70815,0.70633,0.42717,0.49349,0.53826,0.43432,0.16638,1.12707,3.98537,1.12361,0.04894,0,0.000715761,0.000715761,0.000715761
38,6066.1,1.22953,3.32496,1.49001,0.02796,2.79396,0.67836,0.67756,0.67586,0.41647,0.51075,0.51412,0.41298,0.15515,1.0945,3.86925,1.13969,0.04713,0,0.000701588,0.000701588,0.000701588
39,6224.8,1.22325,3.2829,1.49395,0.02782,2.74666,0.67752,0.7436,0.7226,0.43011,0.48785,0.55022,0.43248,0.16649,1.11759,3.98036,1.1362,0.04877,0,0.000687222,0.000687222,0.000687222
40,6385.07,1.24027,3.31231,1.50483,0.02798,2.79946,0.70236,0.70894,0.69047,0.42601,0.4971,0.51387,0.39299,0.15877,1.10999,3.91079,1.10875,0.04767,0,0.000672675,0.000672675,0.000672675
41,6545.45,1.22713,3.29818,1.47672,0.02795,2.69539,0.67245,0.71618,0.67811,0.42286,0.50404,0.53411,0.41637,0.15842,1.12118,3.97497,1.10874,0.04859,0,0.000657963,0.000657963,0.000657963
42,6704.18,1.20886,3.31406,1.4832,0.02767,2.68739,0.71225,0.69377,0.69967,0.42828,0.50201,0.51444,0.40003,0.15588,1.13852,3.93345,1.07688,0.04993,0,0.000643101,0.000643101,0.000643101
43,6863.64,1.21047,3.28283,1.43988,0.02742,2.6461,0.66775,0.70356,0.67608,0.41112,0.49556,0.51691,0.40298,0.16581,1.11393,3.91967,1.16177,0.04827,0,0.000628101,0.000628101,0.000628101
44,7020.22,1.22028,3.26947,1.478,0.02742,2.70747,0.67702,0.68769,0.70113,0.44295,0.52283,0.54543,0.4577,0.18359,1.09837,3.87707,1.11853,0.04745,0,0.000612981,0.000612981,0.000612981
45,7178.34,1.22278,3.29559,1.47478,0.02789,2.70086,0.71552,0.66061,0.68261,0.42275,0.54841,0.48815,0.42692,0.17279,1.11928,3.97993,1.13734,0.04848,0,0.000597754,0.000597754,0.000597754
46,7338.36,1.2194,3.25897,1.44421,0.02781,2.69525,0.70714,0.70292,0.71112,0.43278,0.52966,0.50387,0.42032,0.17173,1.10026,3.92508,1.12493,0.04788,0,0.000582435,0.000582435,0.000582435
